t,	dataset 1,	dataset 2,	dataset 3,	dataset 4
0,	25.91,	26.14,	24.02,	22.78
100,	23.53,	24.71,	22.76,	22.39
200,	23.75,	22.95,	23.34,	23.84
300,	23.23,	22.56,	23.66,	21.87
400,	23.68,	23.38,	23.47,	20.88
500,	23.93,	23.57,	22.75,	24.79
600,	22.77,	23.60,	28.07,	23.47
700,	22.25,	25.99,	29.81,	22.42
800,	26.32,	25.53,	33.42,	22.75
900,	24.82,	30.92,	34.31,	23.20
1000,	22.91,	28.76,	33.35,	23.24
1100,	25.18,	32.61,	33.11,	22.73
1200,	23.61,	32.75,	34.81,	23.35
1300,	28.42,	33.14,	34.71,	21.13
1400,	26.04,	31.19,	33.32,	25.48
1500,	27.32,	32.52,	31.77,	24.34
1600,	28.80,	32.77,	33.75,	25.48
1700	29.51,	32.59,	34.46,	23.87
1800,	26.65,	35.57,	34.93,	26.38
1900,	29.88,	33.50,	33.50,	23.47
2000,	26.48,	34.10,	34.36,	25.38
